日期,累计确诊,累计死亡,累计治愈
2020.05.10,62939,2109,19358
2020.05.11,67700,2215,21130
2020.05.12,70756,2293,22455
2020.05.13,74281,2415,24386
2020.05.14,78003,2549,26235
2020.05.15,81970,2649,27920
2020.05.16,85940,2752,30153
2020.05.17,90927,2872,34109
2020.05.18,96169,3029,36824
2020.05.19,101139,3163,39173
2020.05.20,106750,3303,42298
2020.05.21,112359,3435,45300
2020.05.22,118447,3583,48534
2020.05.23,125101,3720,51784
2020.05.24,131868,3867,54441
2020.05.25,138845,4021,57721
2020.05.26,145380,4167,60491
2020.05.27,151767,4337,64426
2020.05.28,158333,4531,67692
2020.05.29,165799,4706,71106
2020.05.30,173763,4971,82370
2020.05.31,182143,5164,86984
2020.06.01,190535,5394,91819
2020.06.02,198706,5598,95527
2020.06.03,207615,5815,100303
2020.06.04,216919,6075,104107
2020.06.05,226770,6348,109462
2020.06.06,236657,6642,114073
2020.06.07,246628,6929,119293
2020.06.08,256611,7200,124430
2020.06.09,266598,7471,129314
2020.06.10,276583,7745,135206
2020.06.11,286579,8102,141029
2020.06.12,297535,8498,147194
2020.06.13,308993,8884,154330
2020.06.14,320922,9195,162379
2020.06.15,332424,9520,169798
2020.06.16,343091,9900,180013
2020.06.17,354065,11903,186935
2020.06.18,366946,12237,194325
2020.06.19,380532,12573,204710
2020.06.20,395048,12948,213831
2020.06.21,410461,13254,227756
2020.06.22,425282,13699,237195
2020.06.23,440215,14011,248189
2020.06.24,456183,14476,258684
2020.06.25,473105,14894,271696
2020.06.26,490401,15301,285637
2020.06.27,508953,15685,295880
2020.06.28,528859,16095,309712
2020.06.29,548318,16475,321722
2020.06.30,566840,16893,334821
2020.07.01,585493,17400,347978
2020.07.02,604641,17834,359859
2020.07.03,625544,18213,379891
2020.07.04,648315,18655,394226
2020.07.05,673165,19268,409083
2020.07.06,697413,19693,424433
2020.07.07,719665,20160,439948
2020.07.08,742417,20642,456831
2020.07.09,767296,21129,476378
2020.07.10,793802,21604,495513
2020.07.11,820916,22123,515386
2020.07.12,849553,22674,534621
2020.07.13,878254,23174,553470
2020.07.14,906752,23727,571460
2020.07.15,936181,24309,592032
2020.07.16,968876,24915,612815
2020.07.17,1003832,25602,635757
2020.07.18,1038716,26273,653751
2020.07.19,1077618,26816,677423
2020.07.20,1118043,27497,700087
2020.07.21,1155191,28084,724578
2020.07.22,1192915,28732,753050
2020.07.23,1238635,29861,782607
2020.07.24,1287945,30601,817209
2020.07.25,1336861,31358,849432
2020.07.26,1385522,32063,885577
2020.07.27,1435453,32771,917568
2020.07.28,1483156,33425,952743
2020.07.29,1531669,34193,988029
2020.07.30,1583792,34968,1020582
2020.07.31,1638870,35747,1057805
2020.08.01,1695988,36511,1094374
2020.08.02,1750723,37364,1145629
2020.08.03,1803695,38135,1186203
2020.08.04,1855745,38938,1230509
2020.08.05,1908254,39795,1282215
2020.08.06,1964536,40699,1328336
2020.08.07,2027074,41585,1378105
2020.08.08,2088611,42518,1427005
2020.08.09,2153010,43379,1480884
2020.08.10,2215074,44386,1535743
2020.08.11,2268675,45257,1583489
2020.08.12,2329638,46091,1639599
2020.08.13,2396637,47033,1695982
2020.08.14,2461190,48040,1751555
2020.08.15,2526192,49036,1808936
2020.08.16,2589682,49980,1862258
2020.08.17,2647663,50921,1919842
2020.08.18,2702742,51797,1977779
2020.08.19,2767273,52889,2037807
2020.08.20,2836925,53866,2096664
2020.08.21,2905823,54849,2158946
2020.08.22,2975701,55794,2222577
2020.08.23,3044940,56706,2280566
2020.08.24,3106348,57542,2338035
2020.08.25,3167323,58390,2404585
2020.08.26,3234474,59449,2467758
2020.08.27,3310234,60472,2523771
2020.08.28,3387501,61529,2583948
2020.08.29,3463973,62550,2648999
2020.08.30,3542733,63498,2713933
2020.08.31,3621245,64469,2774801
2020.09.01,3691166,65288,2839882
2020.09.02,3769523,66333,2901908
2020.09.03,3853406,67376,2970492
2020.09.04,3936747,68472,3037151
2020.09.05,4023179,69561,3107223
2020.09.06,4113812,70626,3180866
2020.09.07,4204613,71642,3250429
2020.09.08,4280422,72775,3323950
2020.09.09,4370128,73890,3398844
2020.09.10,4465864,75062,3471783
2020.09.11,4562414,76271,3542663
2020.09.12,4659984,77472,3624196
2020.09.13,4754356,78586,3702595
2020.09.14,4846427,79722,3780107
2020.09.15,4930236,80776,3859399
2020.09.16,5020359,82066,3942360
2020.09.17,5118253,83198,4025079
2020.09.18,5214677,84372,4112551
2020.09.19,5308014,85619,4112551
2020.09.20,5400619,86752,4303043
2020.09.21,5487580,87882,4396399
2020.09.22,5562663,88935,4497867
2020.09.23,5646010,90020,4587613
2020.09.24,5732518,91149,4674987
2020.09.25,5818570,92290,4756164
2020.09.26,5903932,93379,4849584
2020.09.27,5992532,94503,4849584
2020.09.28,6074702,95542,5016520
2020.09.29,6145291,96318,5101397
2020.09.30,6225763,97497,5187825
2020.10.01,6312584,98678,5273201
2020.10.02,6394068,99773,5352078
2020.10.03,6473544,100842,5427706
2020.10.04,6549373,101782,5509966
2020.10.05,6623815,102685,5586703
2020.10.06,6685082,103569,5662490
2020.10.07,6757131,104555,5744693
2020.10.08,6835655,105526,5827704
2020.10.09,6906151,106490,5906069
2020.10.10,6979423,107416,5988822
2020.10.11,7053806,108334,6077976
2020.10.12,7120538,109150,6149535
2020.10.13,7175880,109856,6227295
2020.10.14,7239389,110586,6301927
2020.10.16,7370468,112161,6453779
2020.10.17,7432680,112998,6524595
2020.10.18,7494551,114031,6597209
2020.10.19,7550273,114610,6663608
2020.10.20,7597063,115236,6733328
2020.10.21,7651107,115914,6795103
2020.10.22,7706946,116616,6874518
2020.10.23,7761312,117306,6948497
2020.10.24,7814682,117956,6948497
2020.10.25,7864811,118534,7078123
2020.10.26,7909959,119014,7137288
2020.10.27,7946429,119502,7201070
2020.10.28,7990322,120010,7259509
2020.10.29,8040203,120527,7315989
2020.10.30,8088851,121090,7315989
2020.10.31,8137119,121641,7432829
2020.11.01,8184082,122111,7491513
2020.11.02,8229313,122607,7544798
2020.11.03,8267623,123097,7603121
2020.11.04,8313876,123611,7603121
2020.11.05,8364086,124315,7656478
2020.11.06,8411724,124985,7765966
2020.11.07,8462080,125562,7819886
2020.11.08,8507754,126121,7868968
2020.11.09,8553657,126611,7917373
2020.11.10,8591730,127059,7959406
2020.11.11,8636011,127571,8013783
2020.11.12,8683916,128121,8066501
2020.11.13,8728795,128668,8115580
2020.11.14,8773479,129188,8163572
2020.11.15,8814579,129635,8205728
2020.11.16,8845127,130070,8249579
2020.11.17,8874290,130519,8290370
2020.11.18,8912907,130993,8335109
2020.11.19,8958483,131578,8383602
2020.11.20,9004365,132162,8428409
2020.11.21,9050597,132726,8478124
2020.11.22,9095806,133227,8521617
2020.11.23,9139865,133738,8562641
2020.11.24,9177840,134218,8604955
2020.11.25,9222216,134699,8642771
2020.11.26,9266705,135223,8679138
2020.11.27,9309787,135715,8718517
2020.11.28,9351109,136200,8759969
2020.11.29,9351109,136200,8759969
2020.11.30,9431691,137139,8847600
2020.12.01,9431691,137139,8847600
2020.12.02,9499413,138122,8932647
2020.12.03,9534964,138648,8973373
2020.12.04,9571787,139227,9015684
2020.12.05,9608211,139700,9058822
2020.12.06,9644222,140182,9100792
2020.12.07,9644222,140182,9100792
2020.12.08,9677203,140573,9139901
2020.12.09,9703770,140958,9178946
2020.12.10,9735850,141360,9215581
2020.12.11,9767371,141772,9253306
2020.12.12,9796769,142186,9290834
2020.12.13,9826775,142628,9324328
2020.12.14,9857029,143019,9357464
2020.12.15,9884100,143355,9388159
2020.12.16,9906165,143709,9422636
2020.12.17,9932547,144096,9456449
2020.12.18,9956557,144451,9489740
2020.12.19,9979447,144789,9520827
2020.12.20,10004599,145136,9550712
2020.12.21,10031223,145477,9580402
2020.12.22,10055560,145810,9606111
2020.12.23,10075116,146111,9636487
2020.12.24,10099066,146444,9663382
2020.12.25,10123778,146756,9693173
2020.12.26,10146845,147092,9717834
2020.12.27,10169118,147343,9740108
2020.12.28,10187850,147622,9761538
2020.12.29,10207871,147901,9782669
2020.12.30,10224303,148153,9807569
2020.12.31,10244852,148439,9834141
2021.01.01,10266674,148738,9860280
2021.01.02,10286709,148994,9883461
2021.01.03,10305788,149218,9906387
2021.01.04,10323965,149435,9927310
2021.01.05,10340469,149649,9964867
2021.01.06,10356844,149850,9975958
2021.01.07,10374932,150114,9997272
2021.01.08,10395278,150336,10016859
2021.01.09,10413417,150570,10037398
2021.01.10,10431639,150798,10056651
2021.01.11,10450284,150999,10075950
2021.01.12,10466595,151160,10092909
2021.01.13,10479179,151327,10111294
2021.01.14,10495147,151529,10129111
2021.01.15,10512093,151727,10146763
2021.01.16,10527683,151918,10162738
2021.01.17,10542841,152093,10162738
2021.01.18,10557985,152274,10162738
2021.01.19,10571773,152419,10162738
2021.01.20,10581837,152556,10162738
2021.01.21,10595660,152718,10162738
2021.01.22,10610883,152869,10162738
2021.01.23,10625428,153032,10283708
2021.01.24,10639684,153184,10300838
2021.01.25,10654533,153339,10316786
2021.01.26,10676838,153578,10345989
2021.01.27,10676838,153587,10345989
2021.01.28,10689527,153724,10359305
2021.01.29,10701193,153847,10373606
2021.01.30,10720048,154010,10394352
2021.01.31,10733131,154147,10409160
2021.02.01,10746183,154274,10423125
2021.02.02,10757610,154392,10434983
2021.02.03,10766245,154486,10448406
2021.02.04,10777284,154596,10462631
2021.02.05,10790183,154703,10480455
2021.02.06,10802591,154823,10496308
2021.02.07,10814304,154918,10510796
2021.02.08,10826363,154996,10522601
2021.02.09,10838194,155080,10534505
2021.02.10,10847304,155158,10548521
2021.02.11,10858371,155252,10561608
2021.02.12,10871294,155360,10573372
2021.02.13,10880603,155447,10589230
2021.02.14,10892746,155550,10600625
2021.02.15,10904940,155642,10611731
2021.02.16,10916589,155732,10621220
2021.02.17,10925710,155813,10633025
2021.02.18,10937320,155913,10644858
2021.02.19,10950201,156014,10656845
2021.02.20,10963394,156111,10667741
2021.02.21,10977387,156212,10678048
2021.02.22,10991651,156302,10689715
2021.02.23,11005850,156385,10699410
2021.02.24,11016434,156463,10712665
2021.02.25,11039176,156567,10726702
2021.02.26,11046914,156705,10738501
2021.02.27,11063491,156825,10750680
2021.02.28,11079979,156938,10763451
2021.03.01,11096731,157051,10775169
2021.03.02,11112241,157157,10786457
2021.03.03,11124527,157248,10798921
2021.03.04,11139516,157346,10812044
2021.03.05,11156923,157435,10826075
2021.03.06,11173761,157548,10839894
2021.03.07,11192088,157656,10854128
2021.03.08,11210799,157756,10868520
2021.03.09,11229398,157853,10882798
2021.03.10,11244786,157930,10899394
2021.03.11,11262707,158063,10920046
2021.03.12,11285561,158189,10938146
2021.03.13,11308846,158306,10953303
2021.03.14,11333728,158446,10973260
