日期,累计确诊,累计死亡,累计治愈
2020.07.20,3816427,140879,1131121
2020.07.21,3887664,141845,1182018
2020.07.22,3941741,142756,1182018
2020.07.23,4028741,144072,1233269
2020.07.24,4106247,145333,1261624
2020.07.25,4167663,146317,1279414
2020.07.26,4227364,146889,1297863
2020.07.27,4282140,147791,1325804
2020.07.28,4342498,149085,1355363
2020.07.29,4401599,150090,1389425
2020.07.30,4485454,151794,1414155
2020.07.31,4550247,153138,1438160
2020.08.01,4611517,154188,1461885
2020.08.02,4662860,154833,1461885
2020.08.03,4710282,155331,1513446
2020.08.04,4763746,156667,1528979
2020.08.05,4816509,157854,1576425
2020.08.06,4873747,159931,1598624
2020.08.07,4926063,160980,1623870
2020.08.08,4989976,162304,1643118
2020.08.09,5040904,162912,1656864
2020.08.10,5079941,163331,1670755
2020.08.11,5138068,164681,1714960
2020.08.12,5190948,165883,1714960
2020.08.13,5242184,166971,1755225
2020.08.14,5298879,168207,1796309
2020.08.15,5354644,169405,1818527
2020.08.16,5400180,169955,1833067
2020.08.17,5433882,170434,1865580
2020.08.18,5478502,171636,1898159
2020.08.19,5523826,172945,1898159
2020.08.20,5567955,174104,1925049
2020.08.21,5616994,175219,1965056
2020.08.22,5664736,176317,1985484
2020.08.23,5698843,176756,1997761
2020.08.24,5735771,177179,1997782
2020.08.25,5773220,178326,2020774
2020.08.26,5816968,179565,2053699
2020.08.27,5858857,180494,2084465
2020.08.28,5910400,181655,2118367
2020.08.29,5958486,182711,2140614
2020.08.30,5992401,183020,2153939
2020.08.31,6026488,183488,2184825
2020.09.01,6070050,184517,2202663
2020.09.02,6110535,185644,2202682
2020.09.03,6146223,186693,2266957
2020.09.04,6196582,187618,2283454
2020.09.05,6241183,188496,2302187
2020.09.06,6273372,188895,2315995
2020.09.07,6299169,189166,2315995
2020.09.08,6324042,189538,2359111
2020.09.09,6356310,190649,2359111
2020.09.10,6394655,191702,2403511
2020.09.11,6435528,192792,2403511
2020.09.12,6478223,193525,2434658
2020.09.13,6515135,194021,2434658
2020.09.14,6550629,194411,2450184
2020.09.15,6489343,193723,2434658
2020.09.16,6625560,196650,2495127
2020.09.17,6669322,197554,2525573
2020.09.18,6716077,198433,2540334
2020.09.19,6762361,199207,2577446
2020.09.20,6794499,199469,2590671
2020.09.21,6831222,199766,2590695
2020.09.22,6889086,200641,2615974
2020.09.23,6939645,201861,2646959
2020.09.24,6971871,202692,2670256
2020.09.25,7027348,203549,2710183
2020.09.26,7074155,204461,2750459
2020.09.27,7107673,204724,2750459
2020.09.28,7143521,205003,2766304
2020.09.29,7183367,205883,2794608
2020.09.30,7225895,206825,2813305
2020.10.01,7273244,207651,2840747
2020.10.02,7325715,208600,2860650
2020.10.03,7376099,209318,2897322
2020.10.04,7417872,209802,2897322
2020.10.05,7451774,210109,2911789
2020.10.06,7494357,210762,2952390
2020.10.07,7542059,211652,2952390
2020.10.08,7596199,212594,2999895
2020.10.09,7656064,213532,3021252
2020.10.10,7708766,214302,3062983
2020.10.11,7759183,214761,3062983
2020.10.12,7800532,214034,3106728
2020.10.13,7850829,215775,3106769
2020.10.14,7901931,216553,3124593
2020.10.16,8039642,218448,3177397
2020.10.17,8101940,219156,3220573
2020.10.18,8147060,219667,3220573
2020.10.19,8206525,220079,3272063
2020.10.20,8266357,220902,3272603
2020.10.21,8322814,221862,3295426
2020.10.22,8398267,222940,3353056
2020.10.23,8477061,223813,3353056
2020.10.24,8494044,223998,3375427
2020.10.25,8631158,225211,3422878
2020.10.26,8699321,225689,3460455
2020.10.27,8770272,226563,3460455
2020.10.28,8847491,227563,3487666
2020.10.29,8937926,228602,3518140
2020.10.30,9029959,229511,3554336
2020.10.31,9110096,230316,3612478
2020.11.01,9189715,230870,3612478
2020.11.02,9270711,231353,3630627
2020.11.03,9365360,232484,3674981
2020.11.04,9465646,233535,3705130
2020.11.05,9586656,234777,3743527
2020.11.06,9707096,235761,3781751
2020.11.07,9831030,236856,3810791
2020.11.08,9961320,237566,3881491
2020.11.09,10022557,237979,3881558
2020.11.10,10217789,239374,3928845
2020.11.11,10372481,240838,3961873
2020.11.12,10516513,242557,3997204
2020.11.13,10707397,244169,4051256
2020.11.14,10871462,245495,4095387
2020.11.15,11025046,246108,4148444
2020.11.16,11172779,247019,4185549
2020.11.17,11320337,248227,4244811
2020.11.18,11485176,250029,4293816
2020.11.19,11674074,251970,4348089
2020.11.20,11859825,253943,4410709
2020.11.21,12044934,255541,4457930
2020.11.22,12210237,256671,4529700
2020.11.23,12379135,257514,4526635
2020.11.24,12411267,257651,4633600
2020.11.25,12597333,259962,4696664
2020.11.26,12778254,262283,4835956
2020.11.27,12885299,263462,4871203
2020.11.28,13092661,264866,4947446
2020.11.29,13246769,266063,5024365
2020.11.30,13385495,266887,5065030
2020.12.01,13545017,268087,5146319
2020.12.02,13728153,270691,5226581
2020.12.03,13924956,273799,5322128
2020.12.04,14147241,276383,5404018
2020.12.05,14372570,279008,5470389
2020.12.06,14584706,281206,5576026
2020.12.07,14761577,282324,5624444
2020.12.08,14944968,283658,5714557
2020.12.09,15172602,286338,5786915
2020.12.10,15393164,289451,5889896
2020.12.11,15617923,292190,5985047
2020.12.12,15834965,294874,6135314
2020.12.13,16067739,297843,6246605
2020.12.14,16257366,299191,6298082
2020.12.15,16519628,300494,6399531
2020.12.16,16725039,303867,7623410
2020.12.17,16980842,307512,7718143
2020.12.18,17213887,310792,7777776
2020.12.19,17526263,316339,7819540
2020.12.20,17592999,316339,7819540
2020.12.21,17847630,317684,7925626
2020.12.22,18042120,319466,8019873
2020.12.23,18237190,322849,8167820
2020.12.24,18455655,326088,8225571
2020.12.25,18655012,329106,8280764
2020.12.26,18762383,330279,8310191
2020.12.27,18986236,331930,8320845
2020.12.28,19136158,333140,8435120
2020.12.29,19310597,334967,8591658
2020.12.30,19515529,338632,8663084
2020.12.31,19745137,342414,8757150
2021.01.01,20074798,347202,9136262
2021.01.02,20136182,347870,9170094
2021.01.03,20430979,350214,9223561
2021.01.04,20639854,351590,9312768
2021.01.05,20823856,353628,9471656
2021.01.06,21051001,357385,9595733
2021.01.07,21305323,361297,9664784
2021.01.08,21579578,365317,9729398
2021.01.09,21870988,368932,9785511
2021.01.10,22138418,372522,9827904
2021.01.11,22409129,374329,9876627
2021.01.12,22618071,376283,9915571
2021.01.13,22846810,380796,9989455
2021.01.14,23077437,384784,10201460
2021.01.15,23314238,388705,10262463
2021.01.16,23520563,391992,10372186
2021.01.17,23758857,395851,10423244
2021.01.18,23928643,397532,10467918
2021.01.19,24078773,399003,10511075
2021.01.20,24254284,401730,10562082
2021.01.21,24432829,406001,10562082
2021.01.22,24632468,410378,10845438
2021.01.23,24822608,414117,10964355
2021.01.24,24995419,417441,10987451
2021.01.25,25127573,419220,11130430
2021.01.26,25297546,421134,11166132
2021.01.27,25443876,425227,11166500
2021.01.28,25598359,429202,11166500
2021.01.29,25766740,433195,11166500
2021.01.30,25932793,436799,11166500
2021.01.31,26075103,439536,11166500
2021.02.01,26186812,441324,11166500
2021.02.02,26321457,443365,11166500
2021.02.03,26435558,446885,11166500
2021.02.04,26557031,450797,11166500
2021.02.05,26679554,455869,17031629
2021.02.06,26804927,459278,17146169
2021.02.07,26896612,461843,17245971
2021.02.08,26990865,463305,17339630
2021.02.09,27097346,465083,17512584
2021.02.10,27192912,468203,17639217
2021.02.11,27287176,471567,17827323
2021.02.12,27392515,475444,17930819
2021.02.13,27492880,480902,18040312
2021.02.14,27574207,484200,18153126
2021.02.15,27640292,485337,18224288
2021.02.16,27694647,486332,18356625
2021.02.17,27756737,488100,1849418
2021.02.18,27826815,490540,18596497
2021.02.19,27896535,493119,18703421
2021.02.20,28006316,495814,18803723
2021.02.21,28077638,497670,18803723
2021.02.22,28134275,498901,18973190
2021.02.23,28190622,500313,19114140
2021.02.24,28248745,502227,19192385
2021.02.25,28336188,505899,19340329
2021.02.26,28413620,508314,19435453
2021.02.27,28486383,510467,19534068
2021.02.28,28554688,511998,19632523
2021.03.01,28605661,513091,19694337
2021.03.02,28664448,514657,19817532
2021.03.03,28719624,516608,19905322
2021.03.04,28771556,518900,19997983
2021.03.05,28827140,520356,20093442
2021.03.06,28894787,522876,20183329
2021.03.07,28952954,524362,20273915
2021.03.08,28987905,524963,20331320
2021.03.09,29045488,525816,20449634
2021.03.10,29096052,527699,20549678
2021.03.11,29154666,529203,20640270
2021.03.12,29286143,530821,20790554
2021.03.13,29347338,532590,22031220
2021.03.14,29400897,534315,22108596
2021.03.15,29439056,534889,22169237
2021.03.16,29495422,535628,22286551
2021.03.17,29549556,536922,22358469
2021.03.18,29607486,538087,22447275
2021.03.19,29667305,539698,22523799
2021.03.20,29729999,541143,22610325
2021.03.21,29784000,541918,22683617
2021.03.22,29819107,542359,22683617
2021.03.23,29869921,542991,22846003
2021.03.24,29922911,543849,23039585
2021.03.25,30011549,545282,23132879
2021.03.26,30079285,546825,23196209
2021.03.27,30160407,548089,23275268
2021.03.28,30218688,548828,23348510
2021.03.29,30267561,549364,23411037
2021.03.30,30331796,550036,23509220
2021.03.31,30394189,550998,23586796
2021.04.01,30460836,552073,23673462
2021.04.02,30539760,553138,23754391
2021.04.03,30609693,554103,23825396
2021.04.04,30671844,554779,23894632
2021.04.05,30706128,555001,23946703
2021.04.06,30785412,555615,24058562
2021.04.07,30847737,556529,24122221
2021.04.08,30923295,559117,24206539
2021.04.09,31003070,560115,24272869
2021.04.10,31085251,561074,24346766
2021.04.11,31151493,561783,24423589
2021.04.12,31197872,562066,24480522
2021.04.13,31268592,562608,24561404
2021.04.14,31538511,568786,24626410
2021.04.15,31422380,564405,24696161
2021.04.16,31495924,565289,24770980
2021.04.17,31567744,566240,24836187
2021.04.18,31628216,566904,24909770
2021.04.19,31670353,567217,24961229
2021.04.20,31738706,567729,25043463
2021.04.21,31793509,568475,25105535
2021.04.22,31862987,569404,25177434
2021.04.23,31930271,570346,25236658
2021.04.24,31992533,571200,25296047
2021.04.25,32045569,571922,25339874
2021.04.26,32077305,572200,25379831
2021.04.27,32126653,572715,25477507
2021.04.28,32176651,573383,25521913
2021.04.29,32230617,574330,25584747
